"","Participant","Hours_In_Study","Total_16S","Lactobacillus_crispatus","Lactobacillus_jensenii","Lactobacillus_iners","Gardnerella_vaginalis","Megasphaera","BVAB2","Atopobium_vaginae"
"816",1,0,6.03e+09,93.8,60300,3.7e+09,93.8,93.8,93.8,93.8
"817",1,22,1.41e+10,93.8,599000,9.14e+09,93.8,93.8,93.8,93.8
"820",1,46,1.23e+10,93.8,5370000,9.69e+09,93.8,93.8,93.8,93.8
"823",1,70,4.06e+09,93.8,373000,3.67e+09,707,93.8,93.8,93.8
"826",1,91,2.32e+08,93.8,8300,1.82e+08,2470,93.8,93.8,305
"829",1,118,1.16e+10,631,5e+07,9.49e+09,40600,93.8,93.8,308
"832",1,142,2.02e+09,93.8,2030000,1.75e+09,4910,93.8,93.8,93.8
"835",1,166,9.74e+09,93.8,27600000,8.61e+09,1490000,93.8,93.8,93.8
"838",1,187,7.17e+09,93.8,20700000,5.49e+09,350000,93.8,93.8,93.8
"841",1,212,4.56e+08,93.8,985000,3.13e+08,51500,93.8,93.8,93.8
"844",1,236,9.51e+09,93.8,39100000,8.57e+09,1340000,93.8,93.8,93.8
"847",1,261,9.71e+09,93.8,36400000,6.58e+09,5440000,93.8,93.8,93.8
"850",1,283,1.58e+09,320,965000,7.98e+08,113000,93.8,93.8,93.8
"853",1,311,2.52e+09,93.8,1100000,2.09e+09,160000,93.8,93.8,93.8
"856",1,334,5.61e+09,93.8,1480000,4.27e+09,54900,93.8,93.8,93.8
"859",1,359,4.85e+09,93.8,4510000,3.44e+09,15600,93.8,93.8,93.8
"861",1,406,1.07e+09,93.8,2290000,7.84e+08,388,93.8,93.8,268
"864",1,430,3e+09,93.8,6280000,1.95e+09,2690,93.8,93.8,93.8
"867",1,455,9.63e+09,93.8,2.01e+08,8.24e+09,2930000,93.8,93.8,93.8
"870",1,477,7.13e+09,93.8,1.56e+08,5.5e+09,1270000,93.8,93.8,290
"873",1,502,1e+10,93.8,2.12e+08,6.09e+09,16300000,93.8,93.8,93.8
"876",1,525,5.63e+09,93.8,8.9e+07,3.98e+09,88300000,93.8,93.8,93.8
"879",1,549,1.14e+10,93.8,1.23e+08,8.8e+09,1.02e+08,93.8,93.8,93.8
"882",1,574,1.03e+10,93.8,61500000,8.58e+09,1.45e+08,93.8,93.8,93.8
"885",1,598,1.35e+10,93.8,67600000,9.84e+09,2.28e+08,93.8,93.8,93.8
"888",1,621,1.2e+10,93.8,50700000,8.53e+09,2.65e+08,93.8,93.8,93.8
"891",1,644,1.13e+10,93.8,50500000,8.66e+09,3.76e+08,93.8,93.8,93.8
"894",1,669,7.56e+09,93.8,10200000,4.44e+09,2.32e+08,93.8,93.8,93.8
"897",1,694,9.34e+09,93.8,33900000,7.35e+09,5.53e+08,93.8,93.8,93.8
"900",1,717,8.81e+09,93.8,13600000,4.51e+09,4.82e+08,93.8,93.8,93.8
"903",1,739,9.45e+09,93.8,3.7e+07,1.04e+10,4.85e+08,93.8,93.8,93.8
"906",1,765,9.29e+09,93.8,2.7e+07,6.7e+09,72500000,93.8,93.8,93.8
